record_id,year,month,quarter,country,area_type,ev_brand,ev_model,ev_type,vehicle_segment,buyer_type,price_usd,government_incentive_type,incentive_amount_usd,effective_price_usd,range_km,battery_capacity_kwh,primary_charging_type,charging_time_hours,charging_station_access,annual_mileage_km,electricity_cost_per_km_usd,co2_savings_kg_per_year,resale_value_pct_3yr,adas_level,adoption_reason,previous_vehicle_type,top_concern_before_buying,customer_gender,customer_age_group,customer_satisfaction,would_recommend
EV0000013,2020,10,Q4,China,Suburban,BYD,Tang,Battery Electric Vehicle (BEV),Pickup Truck,Fleet/Corporate,32512,Direct Subsidy,14654,17858,455,97.3,Home Charging,7.5,Excellent,23475,0.092,4018,53.5,Level 2,Lower Running Cost,Petrol/Gasoline ICE,Resale Value,Female,25-34,Very Satisfied,Yes
EV0000014,2024,9,Q3,India,Urban,Hyundai,IONIQ 5,Hybrid Electric (HEV),Hatchback,Individual,32530,None,0,32530,46,5.2,Home Charging,8.6,Good,10343,0.046,417,67.6,Level 2,Lower Running Cost,Hybrid,Range Anxiety,Male,45-54,Satisfied,Maybe
EV0000015,2023,3,Q1,USA,Urban,Rivian,R1S,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,56355,Tax Credit,7271,49084,448,68.0,Supercharger Network,0.7,Very Poor,19674,0.063,4174,48.4,Level 2+,Performance,Petrol/Gasoline ICE,Charging Infrastructure,Male,35-44,Satisfied,Yes
EV0000016,2024,8,Q3,Italy,Suburban,Tesla,Model S,Plug-in Hybrid (PHEV),Hatchback,Rental Company,36453,None,0,36453,81,21.1,Supercharger Network,0.4,Good,15015,0.055,1946,70.1,Level 2+,Lower Running Cost,Diesel ICE,Charging Time,Female,35-44,Satisfied,Yes
EV0000017,2022,1,Q1,France,Urban,BYD,Atto 3,Battery Electric Vehicle (BEV),SUV,Rideshare/Taxi,29870,None,0,29870,267,118.7,Home Charging,11.0,Good,14246,0.021,4465,75.8,Level 0,Environmental Concern,Diesel ICE,None/No Concern,Male,35-44,Very Satisfied,Maybe
EV0000018,2022,3,Q1,India,Urban,Nissan,Leaf,Plug-in Hybrid (PHEV),SUV,Fleet/Corporate,35347,None,0,35347,88,16.2,Supercharger Network,0.9,Good,19429,0.023,1323,72.4,Level 2,Environmental Concern,Hybrid,Battery Life,Female,45-54,Satisfied,Yes
EV0000019,2023,7,Q3,India,Rural,Tata Motors,Nexon EV,Plug-in Hybrid (PHEV),Sports Car,Individual,21868,None,0,21868,76,15.3,DC Fast Charging,1.1,Average,10598,0.075,1111,48.4,Level 2,Environmental Concern,Hybrid,Charging Time,Female,35-44,Very Satisfied,Yes
EV0000020,2020,11,Q4,Spain,Rural,Tesla,Model S,Hybrid Electric (HEV),Sedan,Fleet/Corporate,41958,Direct Subsidy,4142,37816,36,6.0,DC Fast Charging,0.8,Excellent,12761,0.118,310,63.5,Level 0,Environmental Concern,Petrol/Gasoline ICE,Resale Value,Male,45-54,Satisfied,Yes
EV0000021,2024,10,Q4,Germany,Suburban,Volvo,C40 Recharge,Plug-in Hybrid (PHEV),Sedan,Rental Company,53920,Reduced Registration Fee,2893,51027,74,9.8,DC Fast Charging,1.3,Excellent,12710,0.057,587,56.6,Level 3,Environmental Concern,Diesel ICE,Charging Time,Male,35-44,Satisfied,No
EV0000022,2022,11,Q4,Australia,Suburban,BYD,Atto 3,Plug-in Hybrid (PHEV),SUV,Fleet/Corporate,30379,None,0,30379,71,9.2,Home Charging,6.0,Very Poor,8556,0.031,1292,59.7,Level 0,Technology Appeal,Petrol/Gasoline ICE,Charging Infrastructure,Male,35-44,Very Satisfied,Yes
EV0000023,2023,1,Q1,UK,Urban,MG Motor,MG 5,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,19406,None,0,19406,308,76.1,Supercharger Network,0.5,Excellent,19939,0.054,2616,77.9,Level 1,Government Incentive,Petrol/Gasoline ICE,Battery Life,Male,35-44,Neutral,Yes
EV0000024,2020,6,Q2,Germany,Urban,BYD,Tang,Battery Electric Vehicle (BEV),SUV,Rental Company,31892,Free Charging,2585,29307,299,57.9,Home Charging,6.6,Average,33346,0.07,4274,78.0,Level 0,Government Incentive,Diesel ICE,Range Anxiety,Male,25-34,Satisfied,Yes
EV0000025,2021,5,Q2,Netherlands,Suburban,Volvo,XC40 Recharge,Battery Electric Vehicle (BEV),Sedan,Individual,53556,Tax Credit,6063,47493,324,92.1,Home Charging,9.9,Good,29442,0.034,2696,61.6,Level 2,Environmental Concern,Petrol/Gasoline ICE,High Price,Female,25-34,Neutral,Yes
EV0000026,2022,11,Q4,India,Rural,NIO,ET5,Battery Electric Vehicle (BEV),Hatchback,Individual,40549,Direct Subsidy,11924,28625,323,95.8,Home Charging,11.0,Excellent,17710,0.081,4333,73.4,Level 0,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Male,45-54,Very Satisfied,Yes
EV0000027,2021,3,Q1,France,Urban,Lucid Motors,Air Pure,Battery Electric Vehicle (BEV),Sports Car,Individual,132463,Direct Subsidy,8409,124054,772,95.2,Workplace Charging,7.0,Excellent,20931,0.071,2217,61.0,Level 2+,Environmental Concern,Another EV,High Price,Male,25-34,Satisfied,Yes
EV0000028,2024,6,Q2,Spain,Suburban,Chevrolet,Silverado EV,Plug-in Hybrid (PHEV),Sedan,Individual,34556,Direct Subsidy,5068,29488,102,22.9,Workplace Charging,4.6,Excellent,36149,0.038,1913,64.8,Level 2,Environmental Concern,Diesel ICE,Resale Value,Prefer not to say,45-54,Very Satisfied,Yes
EV0000029,2024,5,Q2,India,Urban,Ford,E-Transit,Battery Electric Vehicle (BEV),Sedan,Rideshare/Taxi,44636,Multiple Incentives,11732,32904,582,47.7,Home Charging,7.9,Good,27478,0.042,2630,52.4,Level 2+,Environmental Concern,Diesel ICE,Battery Life,Male,65+,Very Satisfied,Yes
EV0000030,2024,5,Q2,USA,Urban,Stellantis,Opel Mokka-e,Battery Electric Vehicle (BEV),Sedan,Government,27120,Reduced Registration Fee,2510,24610,441,81.9,Home Charging,6.1,Poor,14334,0.108,2744,78.5,Level 2+,Technology Appeal,Petrol/Gasoline ICE,Range Anxiety,Male,35-44,Satisfied,Yes
EV0000031,2020,10,Q4,Sweden,Urban,Tesla,Model 3,Plug-in Hybrid (PHEV),Sedan,Individual,44110,Direct Subsidy,14004,30106,114,12.5,Workplace Charging,6.8,Poor,14227,0.049,1425,64.0,Level 0,Environmental Concern,Another EV,Range Anxiety,Male,35-44,Very Satisfied,Maybe
EV0000032,2024,3,Q1,USA,Urban,BMW,i3,Battery Electric Vehicle (BEV),SUV,Individual,66566,None,0,66566,346,96.2,Public AC Charging,4.1,Very Poor,25169,0.064,2582,72.4,Level 2+,Technology Appeal,Petrol/Gasoline ICE,Range Anxiety,Male,35-44,Very Satisfied,Yes
EV0000033,2024,3,Q1,Spain,Urban,Hyundai,IONIQ 6,Battery Electric Vehicle (BEV),Sedan,Individual,41578,None,0,41578,386,98.6,Public AC Charging,3.1,Very Poor,18781,0.061,3101,73.5,Level 2,Performance,Petrol/Gasoline ICE,Charging Infrastructure,Female,45-54,Neutral,Yes
EV0000034,2023,5,Q2,Netherlands,Suburban,Hyundai,IONIQ 5,Battery Electric Vehicle (BEV),Pickup Truck,Fleet/Corporate,52764,None,0,52764,365,84.0,Workplace Charging,5.2,Average,9174,0.107,4122,70.0,Level 2,Lower Running Cost,Diesel ICE,High Price,Male,35-44,Satisfied,Yes
EV0000035,2021,11,Q4,China,Suburban,BMW,i4,Hybrid Electric (HEV),SUV,Rideshare/Taxi,77643,Tax Credit,5491,72152,29,2.0,Public AC Charging,3.7,Average,27450,0.022,545,72.0,Level 2,Government Incentive,Petrol/Gasoline ICE,Charging Infrastructure,Female,65+,Neutral,Yes
EV0000036,2022,4,Q2,Norway,Urban,Nissan,Ariya,Plug-in Hybrid (PHEV),SUV,Individual,35628,Multiple Incentives,11483,24145,79,14.4,DC Fast Charging,0.3,Excellent,16500,0.09,1927,61.8,Level 1,Performance,First Vehicle,Range Anxiety,Female,35-44,Satisfied,Yes
EV0000037,2024,10,Q4,UK,Rural,Hyundai,IONIQ 5,Hybrid Electric (HEV),SUV,Individual,46959,None,0,46959,31,6.3,Home Charging,8.1,Average,22647,0.111,271,45.2,Level 2,Technology Appeal,Petrol/Gasoline ICE,Resale Value,Female,25-34,Satisfied,Yes
EV0000038,2022,5,Q2,Germany,Suburban,Tesla,Model Y,Hybrid Electric (HEV),Sedan,Individual,46112,Direct Subsidy,9317,36795,42,3.9,Home Charging,10.7,Poor,15014,0.023,563,46.2,Level 2,Environmental Concern,Petrol/Gasoline ICE,None/No Concern,Male,35-44,Satisfied,Maybe
EV0000039,2023,6,Q2,USA,Urban,Hyundai,IONIQ 6,Battery Electric Vehicle (BEV),Hatchback,Individual,30903,Tax Credit,4698,26205,588,95.6,Home Charging,10.9,Excellent,20060,0.041,2927,52.0,Level 2+,Government Incentive,Petrol/Gasoline ICE,Battery Life,Male,25-34,Satisfied,Yes
EV0000040,2023,6,Q2,Netherlands,Rural,Volkswagen,ID.3,Plug-in Hybrid (PHEV),Sedan,Individual,36994,None,0,36994,115,18.8,Home Charging,8.3,Average,20641,0.062,1922,68.6,Level 3,Technology Appeal,Diesel ICE,High Price,Male,35-44,Very Satisfied,Yes
EV0000041,2022,1,Q1,Brazil,Rural,Tata Motors,Tiago EV,Plug-in Hybrid (PHEV),Hatchback,Individual,14165,Direct Subsidy,13828,337,113,22.0,Public AC Charging,4.9,Good,22809,0.026,842,45.8,Level 1,Environmental Concern,Petrol/Gasoline ICE,High Price,Female,25-34,Satisfied,No
EV0000042,2021,11,Q4,China,Suburban,Tesla,Model 3,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,53447,Multiple Incentives,9440,44007,783,99.6,Workplace Charging,4.9,Very Poor,16029,0.06,2253,79.4,Level 0,Corporate Policy,Hybrid,Resale Value,Male,35-44,Satisfied,Yes
EV0000043,2024,1,Q1,USA,Suburban,Tesla,Model Y,Battery Electric Vehicle (BEV),Sedan,Individual,42321,Free Charging,1858,40463,706,75.6,DC Fast Charging,0.6,Excellent,12532,0.072,2462,56.0,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,Charging Time,Male,25-34,Satisfied,Yes
EV0000044,2023,3,Q1,Netherlands,Urban,BMW,i4,Hybrid Electric (HEV),Sedan,Rideshare/Taxi,58328,Tax Credit,5448,52880,31,2.3,Public AC Charging,2.4,Good,42712,0.036,355,60.6,Level 2,Lower Running Cost,Petrol/Gasoline ICE,Charging Time,Female,35-44,Satisfied,No
EV0000045,2021,11,Q4,Canada,Rural,Tesla,Model Y,Battery Electric Vehicle (BEV),Sedan,Individual,47389,None,0,47389,793,59.1,DC Fast Charging,0.9,Excellent,11955,0.102,3961,76.3,Level 3,Lower Running Cost,Petrol/Gasoline ICE,Charging Infrastructure,Female,18-24,Neutral,Yes
EV0000046,2020,8,Q3,South Korea,Urban,Volkswagen,ID.6,Battery Electric Vehicle (BEV),Hatchback,Individual,29918,Tax Credit,4980,24938,594,49.8,Workplace Charging,6.3,Poor,45391,0.087,3514,78.3,Level 1,Lower Running Cost,Diesel ICE,Range Anxiety,Male,25-34,Very Satisfied,Yes
EV0000047,2023,6,Q2,Norway,Urban,Kia,EV9,Battery Electric Vehicle (BEV),SUV,Individual,43872,Multiple Incentives,6659,37213,546,75.4,Home Charging,9.4,Average,17474,0.118,3060,59.2,Level 2+,Government Incentive,First Vehicle,High Price,Male,45-54,Very Satisfied,Maybe
EV0000048,2020,4,Q2,Pakistan,Urban,Lucid Motors,Air Grand Touring,Hybrid Electric (HEV),Sedan,Fleet/Corporate,90257,Direct Subsidy,8160,82097,28,3.1,Home Charging,10.3,Good,19195,0.061,540,45.5,Level 3,Environmental Concern,Diesel ICE,Charging Time,Male,45-54,Very Satisfied,Yes
EV0000049,2024,7,Q3,Sweden,Urban,Hyundai,Kona Electric,Hybrid Electric (HEV),SUV,Individual,43226,None,0,43226,42,4.5,Supercharger Network,0.5,Poor,33799,0.047,678,77.8,Level 0,Performance,Hybrid,Charging Infrastructure,Female,25-34,Satisfied,Yes
EV0000050,2023,6,Q2,France,Rural,Tesla,Cybertruck,Plug-in Hybrid (PHEV),Sedan,Rental Company,41692,None,0,41692,62,20.7,Public AC Charging,5.2,Good,29516,0.087,1429,64.1,Level 1,Government Incentive,Petrol/Gasoline ICE,None/No Concern,Female,25-34,Neutral,Yes
EV0000051,2024,10,Q4,China,Urban,Nissan,Ariya,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,23001,None,0,23001,376,57.5,Home Charging,7.8,Good,22770,0.052,4272,79.9,Level 2,Government Incentive,Diesel ICE,None/No Concern,Female,35-44,Dissatisfied,Yes
EV0000052,2020,10,Q4,Japan,Suburban,Hyundai,IONIQ 6,Battery Electric Vehicle (BEV),SUV,Individual,49903,Tax Credit,4112,45791,309,43.2,Home Charging,9.9,Good,32678,0.047,2132,52.3,Level 2+,Environmental Concern,Another EV,Charging Infrastructure,Female,25-34,Neutral,Yes
EV0000053,2020,12,Q4,Pakistan,Urban,Volkswagen,ID.3,Battery Electric Vehicle (BEV),Hatchback,Fleet/Corporate,30876,None,0,30876,618,112.7,Workplace Charging,7.2,Average,39272,0.045,1902,66.5,Level 2+,Environmental Concern,Petrol/Gasoline ICE,High Price,Female,45-54,Dissatisfied,Maybe
EV0000054,2021,6,Q2,Norway,Suburban,Chevrolet,Silverado EV,Battery Electric Vehicle (BEV),SUV,Individual,41873,None,0,41873,472,58.6,Home Charging,10.2,Average,13881,0.083,4438,71.4,Level 0,Environmental Concern,Petrol/Gasoline ICE,Battery Life,Male,18-24,Very Satisfied,Yes
EV0000055,2022,4,Q2,India,Suburban,Hyundai,IONIQ 6,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,46002,Reduced Registration Fee,2618,43384,475,70.8,Home Charging,7.0,Average,35264,0.114,2961,58.7,Level 2+,Environmental Concern,First Vehicle,Resale Value,Prefer not to say,18-24,Neutral,Yes
EV0000056,2023,2,Q1,Brazil,Urban,Volkswagen,ID.Buzz,Plug-in Hybrid (PHEV),Sedan,Individual,37011,Tax Credit,6242,30769,82,13.9,Home Charging,7.2,Poor,11321,0.076,1452,67.6,Level 2+,Lower Running Cost,Another EV,High Price,Female,35-44,Very Satisfied,Yes
EV0000057,2021,2,Q1,Pakistan,Urban,Rivian,R1S,Hybrid Electric (HEV),SUV,Rideshare/Taxi,82819,Reduced Registration Fee,2611,80208,21,1.2,DC Fast Charging,0.7,Very Poor,12554,0.028,223,54.3,Level 2,Technology Appeal,Petrol/Gasoline ICE,Charging Time,Female,55-64,Very Satisfied,Yes
EV0000058,2021,5,Q2,Denmark,Suburban,BMW,i3,Plug-in Hybrid (PHEV),Sports Car,Individual,91436,Free Charging,1122,90314,52,21.1,Workplace Charging,5.9,Good,15447,0.114,739,62.4,Level 2,Lower Running Cost,Diesel ICE,Battery Life,Male,55-64,Very Satisfied,Yes
EV0000059,2021,11,Q4,Sweden,Suburban,Audi,e-tron,Battery Electric Vehicle (BEV),Hatchback,Individual,51050,Tax Credit,3455,47595,607,53.8,Public AC Charging,5.7,Average,33238,0.113,4200,74.7,Level 1,Technology Appeal,First Vehicle,High Price,Male,35-44,Neutral,Yes
EV0000060,2020,2,Q1,Australia,Suburban,Volkswagen,ID.Buzz,Hybrid Electric (HEV),Sedan,Individual,39855,Free Charging,561,39294,45,4.0,Public AC Charging,5.2,Excellent,17730,0.073,481,66.0,Level 2+,Government Incentive,Diesel ICE,High Price,Female,45-54,Neutral,Maybe
EV0000061,2021,1,Q1,USA,Rural,Nissan,Leaf,Battery Electric Vehicle (BEV),Hatchback,Individual,25477,None,0,25477,256,103.8,Workplace Charging,4.6,Excellent,16891,0.084,3017,58.3,Level 2+,Performance,Another EV,Battery Life,Male,25-34,Satisfied,No
EV0000062,2024,12,Q4,USA,Suburban,Chevrolet,Bolt EV,Hybrid Electric (HEV),Hatchback,Fleet/Corporate,24764,Direct Subsidy,13438,11326,34,3.7,Public AC Charging,2.9,Excellent,10953,0.021,765,62.2,Level 1,Lower Running Cost,First Vehicle,Range Anxiety,Female,25-34,Satisfied,Yes
EV0000063,2020,12,Q4,Sweden,Urban,Polestar,Polestar 3,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,60910,None,0,60910,640,60.1,Public AC Charging,5.5,Average,28251,0.099,2662,53.1,Level 1,Government Incentive,Petrol/Gasoline ICE,Charging Infrastructure,Male,35-44,Very Satisfied,Maybe
EV0000064,2021,10,Q4,UK,Urban,Stellantis,Fiat 500e,Plug-in Hybrid (PHEV),Sedan,Individual,30261,Tax Credit,2905,27356,100,20.9,Supercharger Network,0.4,Average,14211,0.116,1147,76.8,Level 3,Government Incentive,Petrol/Gasoline ICE,Charging Infrastructure,Male,55-64,Satisfied,Yes
EV0000065,2020,5,Q2,Spain,Suburban,Ford,F-150 Lightning,Plug-in Hybrid (PHEV),Van/MPV,Individual,46144,Free Charging,2417,43727,112,21.7,Home Charging,9.0,Poor,20758,0.07,1467,66.3,Level 1,Environmental Concern,Petrol/Gasoline ICE,High Price,Male,25-34,Satisfied,No
EV0000066,2023,8,Q3,China,Suburban,Renault,Zoe,Battery Electric Vehicle (BEV),SUV,Government,29336,Tax Credit,6965,22371,235,63.2,Home Charging,6.9,Excellent,23204,0.035,4206,49.4,Level 1,Lower Running Cost,Petrol/Gasoline ICE,High Price,Male,25-34,Very Satisfied,Yes
EV0000067,2024,12,Q4,Netherlands,Urban,Tesla,Model Y,Battery Electric Vehicle (BEV),SUV,Government,51226,Reduced Registration Fee,1557,49669,767,116.7,Home Charging,11.6,Good,33388,0.104,1927,78.1,Level 1,Government Incentive,Hybrid,Charging Infrastructure,Female,25-34,Very Dissatisfied,Yes
EV0000068,2020,3,Q1,UK,Suburban,Volkswagen,ID.Buzz,Plug-in Hybrid (PHEV),SUV,Fleet/Corporate,45540,Reduced Registration Fee,1472,44068,67,9.0,Public AC Charging,2.6,Average,15128,0.043,1808,70.3,Level 0,Government Incentive,Diesel ICE,Range Anxiety,Female,25-34,Very Dissatisfied,Maybe
EV0000069,2023,11,Q4,India,Rural,BYD,Han,Plug-in Hybrid (PHEV),SUV,Fleet/Corporate,31852,None,0,31852,93,20.4,Supercharger Network,0.9,Excellent,11817,0.088,595,64.3,Level 2,Performance,Diesel ICE,Battery Life,Prefer not to say,35-44,Satisfied,No
EV0000070,2022,3,Q1,France,Urban,Nissan,Leaf,Hybrid Electric (HEV),SUV,Rideshare/Taxi,33077,Direct Subsidy,3833,29244,31,6.4,DC Fast Charging,0.9,Excellent,12969,0.084,653,56.0,Level 2+,Environmental Concern,Petrol/Gasoline ICE,Charging Infrastructure,Male,25-34,Satisfied,Yes
EV0000071,2021,11,Q4,USA,Rural,Mercedes-Benz,EQE,Hybrid Electric (HEV),SUV,Individual,92035,None,0,92035,57,7.3,Home Charging,11.2,Good,13115,0.085,504,69.6,Level 2,Environmental Concern,Another EV,High Price,Male,35-44,Satisfied,Yes
EV0000072,2024,12,Q4,Spain,Urban,Kia,EV9,Plug-in Hybrid (PHEV),SUV,Individual,39205,Direct Subsidy,6942,32263,72,10.1,Workplace Charging,7.8,Good,25341,0.022,1351,56.1,Level 2+,Environmental Concern,Diesel ICE,Resale Value,Male,35-44,Satisfied,Yes
EV0000073,2024,2,Q1,Sweden,Urban,Tesla,Model X,Battery Electric Vehicle (BEV),SUV,Fleet/Corporate,47853,None,0,47853,705,90.8,Home Charging,8.6,Average,22324,0.114,2201,49.5,Level 2,Environmental Concern,Hybrid,Charging Time,Male,35-44,Satisfied,No
EV0000074,2024,4,Q2,Japan,Urban,Tesla,Model X,Hybrid Electric (HEV),Hatchback,Individual,31515,Tax Credit,6439,25076,42,7.3,Home Charging,7.8,Very Poor,16885,0.038,795,48.6,Level 2,Environmental Concern,Petrol/Gasoline ICE,Charging Infrastructure,Male,25-34,Satisfied,No
EV0000075,2022,7,Q3,India,Rural,Volkswagen,ID.4,Plug-in Hybrid (PHEV),SUV,Individual,42170,Direct Subsidy,10225,31945,61,15.3,Home Charging,11.4,Excellent,38823,0.082,1002,75.8,Level 2,Environmental Concern,Petrol/Gasoline ICE,Charging Time,Female,35-44,Satisfied,Yes
EV0000076,2022,9,Q3,China,Urban,Tesla,Model 3,Plug-in Hybrid (PHEV),Van/MPV,Individual,41903,Free Charging,2243,39660,101,14.2,Home Charging,6.0,Good,16028,0.087,1603,61.7,Level 0,Environmental Concern,Petrol/Gasoline ICE,High Price,Female,25-34,Satisfied,Yes
EV0000077,2023,11,Q4,Germany,Rural,BMW,iX,Battery Electric Vehicle (BEV),Hatchback,Individual,52761,Direct Subsidy,3931,48830,427,99.8,Home Charging,10.5,Average,22642,0.107,2659,49.1,Level 0,Performance,First Vehicle,Range Anxiety,Male,35-44,Satisfied,Yes
EV0000078,2020,5,Q2,China,Urban,BYD,Dolphin,Hybrid Electric (HEV),Sports Car,Individual,36856,None,0,36856,50,2.1,DC Fast Charging,0.5,Excellent,14917,0.098,748,51.3,Level 3,Brand Image,First Vehicle,Charging Infrastructure,Female,25-34,Neutral,Yes
EV0000079,2021,12,Q4,Netherlands,Suburban,NIO,ET5,Battery Electric Vehicle (BEV),Pickup Truck,Individual,62470,None,0,62470,328,111.8,Workplace Charging,7.3,Poor,22538,0.022,4107,56.6,Level 0,Environmental Concern,Petrol/Gasoline ICE,High Price,Female,45-54,Satisfied,Maybe
EV0000080,2023,4,Q2,India,Suburban,Rivian,R1T,Hybrid Electric (HEV),SUV,Government,75392,Reduced Registration Fee,711,74681,38,2.7,Public AC Charging,2.5,Good,17323,0.085,460,72.6,Level 2+,Brand Image,Hybrid,High Price,Female,25-34,Satisfied,Yes
EV0000081,2024,4,Q2,Germany,Urban,Mercedes-Benz,EQE,Plug-in Hybrid (PHEV),Sedan,Individual,79039,Tax Credit,3169,75870,90,11.7,DC Fast Charging,0.5,Excellent,11433,0.028,1203,77.4,Level 3,Environmental Concern,Diesel ICE,None/No Concern,Male,55-64,Very Satisfied,Yes
EV0000082,2024,4,Q2,UK,Urban,Nissan,Leaf,Battery Electric Vehicle (BEV),Sedan,Individual,28929,Tax Credit,6433,22496,489,114.3,Supercharger Network,0.7,Good,19565,0.068,2248,60.4,Level 2+,Lower Running Cost,Petrol/Gasoline ICE,Charging Time,Male,55-64,Satisfied,Maybe
EV0000083,2023,8,Q3,Spain,Urban,Nissan,Ariya,Battery Electric Vehicle (BEV),Sedan,Fleet/Corporate,31892,Reduced Registration Fee,1623,30269,592,112.9,Workplace Charging,6.1,Very Poor,19532,0.058,3349,74.6,Level 2,Environmental Concern,Petrol/Gasoline ICE,Charging Time,Male,25-34,Neutral,Yes
EV0000084,2021,6,Q2,Pakistan,Rural,Tesla,Model 3,Battery Electric Vehicle (BEV),Hatchback,Individual,36046,Multiple Incentives,13610,22436,503,108.4,Home Charging,8.0,Average,12037,0.05,2192,65.2,Level 2,Environmental Concern,Diesel ICE,Charging Infrastructure,Female,25-34,Very Satisfied,Yes
EV0000085,2023,6,Q2,Norway,Suburban,Hyundai,IONIQ 5,Plug-in Hybrid (PHEV),SUV,Government,47373,None,0,47373,49,19.4,Public AC Charging,4.2,Average,13153,0.096,785,55.7,Level 2+,Technology Appeal,Petrol/Gasoline ICE,Charging Time,Male,55-64,Dissatisfied,Yes
